family,seed,variant,variant_label,country,contrast_country,topic,exact_pair,margin_switch,target_margin,contrast_margin
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Nigeria,United Kingdom,Politics and government,0.0,0.0,1.0732541600481724,-1.0732541600481724
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Nigeria,United Kingdom,Education,0.0,0.0,-1.340178661810607,1.340178661810607
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Malaysia,United Kingdom,Geography and infrastructure,0.0,0.0,-3.389863673991538,3.389863673991538
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Malaysia,United Kingdom,Politics and government,0.0,0.0,-0.704148388004322,0.704148388004322
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ireland,United Kingdom,Education,0.0,0.0,-1.7869048824141442,1.7869048824141442
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ghana,United Kingdom,Sports,0.0,0.0,0.4756188721565069,-0.4756188721565069
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Tanzania,United Kingdom,Sports,0.0,0.0,1.7926384194543878,-1.7926384194543878
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ghana,United Kingdom,Sports,0.0,0.0,-0.10511205190671369,0.10511205190671369
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Philippines,United States,Sports,0.0,0.0,0.8968753860616392,-0.8968753860616392
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ghana,United Kingdom,Sports,0.0,0.0,-2.3695845068962464,2.3695845068962464
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Canada,United States,Education,0.0,0.0,2.342291212680438,-2.342291212680438
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Jamaica,United States,Geography and infrastructure,0.0,0.0,-3.181557418376438,3.181557418376438
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ireland,United Kingdom,Public life and holidays,0.0,0.0,-0.026278012976680643,0.026278012976680643
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Hong Kong,United Kingdom,Economy and business,0.0,0.0,-0.6665164735968636,0.6665164735968636
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Hong Kong,United Kingdom,Economy and business,0.0,0.0,-0.6597167640325381,0.6597167640325381
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Sri Lanka,India,Economy and business,0.0,0.0,-0.1503942907295608,0.1503942907295608
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",India,United Kingdom,Economy and business,0.0,0.0,-0.8899336954622372,0.8899336954622372
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Canada,United States,Education,0.0,0.0,-0.898672156835362,0.898672156835362
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Malaysia,United Kingdom,Politics and government,0.0,0.0,-0.021462441467541282,0.021462441467541282
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",United States,United Kingdom,Education,0.0,0.0,-1.0773985320438229,1.0773985320438229
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",United Kingdom,United States,Public life and holidays,0.0,0.0,-1.1430935644855191,1.1430935644855191
